Date,Time,City,Latitude,Longitude,Weather,Road_Type,Light_Condition,Vehicle_Type,Speed_Limit,Vehicles_Involved,Accident_Severity,Accident_Cause,Alcohol_Involved,Overspeeding_Severity,Drunk_Driving_Severity
2024-11-24,11:21,Malappuram,11.099307228185129,76.05039631435842,Foggy,Rural Road,Daylight,Car,50,4,High,Overspeeding,No,High,High
2023-09-27,02:51,Kollam,8.87585863252568,76.62801460337145,Clear,Rural Road,Daylight,Truck,50,2,Medium,Drunk Driving,Yes,Low,Medium
2024-06-11,18:23,Kottayam,9.634595184292237,76.54709872876205,Cloudy,Rural Road,Night,Bike,60,3,Low,Drunk Driving,Yes,Medium,Medium
2023-12-04,11:55,Thrissur,10.549807303266867,76.21946831444261,Rainy,City Road,Low Light,Bike,100,4,Low,Road Condition,No,High,High
2024-08-06,15:56,Kozhikode,11.26403989972057,75.81595483419983,Clear,Rural Road,Night,Car,50,4,Low,Distracted Driving,Yes,Medium,Medium
2024-06-03,14:03,Thiruvananthapuram,8.565456614850754,76.8913809032838,Rainy,Highway,Night,Car,40,1,High,Bad Weather,Yes,Low,High
2024-06-12,18:55,Ernakulam,9.96264223689274,76.25770167118266,Foggy,Highway,Low Light,Bike,50,3,Medium,Road Condition,Yes,Low,Medium
2024-01-19,07:33,Alappuzha,9.529805017602282,76.33450396367932,Foggy,Highway,Low Light,Bus,40,1,High,Distracted Driving,Yes,Medium,High
2024-01-19,04:42,Wayanad,11.663161533362766,76.10154288331269,Clear,Highway,Night,Truck,60,2,High,Distracted Driving,Yes,Low,Low
2023-04-06,10:11,Kannur,11.87614114515162,75.33315099538831,Rainy,Rural Road,Night,Truck,50,4,Medium,Overspeeding,Yes,Medium,Medium
2023-04-18,10:14,Malappuram,11.048805676224935,76.02355877357375,Cloudy,Rural Road,Night,Bike,100,4,High,Bad Weather,Yes,High,Low
2024-07-22,10:28,Thrissur,10.511869836511531,76.2498052488418,Clear,Rural Road,Low Light,Bus,40,3,High,Drunk Driving,Yes,Low,Low
2024-06-06,12:11,Ernakulam,10.017317323738343,76.251181580103,Foggy,Rural Road,Night,Truck,80,4,Low,Distracted Driving,Yes,High,Low
2023-05-11,19:16,Pathanamthitta,9.224697772322939,76.77190967144534,Clear,City Road,Low Light,Bus,80,2,High,Distracted Driving,No,Low,Medium
2024-02-07,20:43,Kasaragod,12.487011163442265,74.98674463157822,Foggy,City Road,Night,Truck,50,1,Low,Distracted Driving,Yes,Low,Medium
2023-03-09,02:02,Malappuram,11.072673546635857,76.0414480982209,Foggy,City Road,Low Light,Truck,50,2,Low,Overspeeding,Yes,Medium,Medium
2023-01-21,18:10,Idukki,9.833347548643971,76.96641940721246,Foggy,City Road,Night,Bus,100,3,Medium,Bad Weather,No,Low,Medium
2024-03-17,07:10,Kasaragod,12.507289248286526,74.99921524744121,Cloudy,Highway,Night,Bike,50,3,High,Bad Weather,Yes,Low,Low
2023-02-12,19:39,Ernakulam,9.995744898743222,76.28971798183015,Clear,City Road,Daylight,Truck,80,4,Low,Overspeeding,No,High,Low
2024-06-14,12:45,Thrissur,10.531859296031296,76.25540429571777,Rainy,City Road,Night,Bike,50,4,High,Road Condition,Yes,Low,High
2023-11-25,11:14,Malappuram,11.0051320350438,76.07130894139944,Clear,Highway,Low Light,Bike,80,4,High,Road Condition,Yes,High,Low
2023-12-26,03:23,Palakkad,10.807443465803795,76.65666234265652,Foggy,Highway,Low Light,Car,40,2,High,Road Condition,Yes,High,Low
2023-09-10,22:22,Wayanad,11.72812781220174,76.16177022129436,Clear,Rural Road,Daylight,Bus,40,4,Low,Overspeeding,Yes,High,Medium
2023-07-15,14:48,Kollam,8.910932152525273,76.62506986847731,Foggy,Rural Road,Low Light,Truck,40,1,Low,Distracted Driving,Yes,Medium,Medium
2024-08-24,10:21,Thiruvananthapuram,8.496303405408819,76.92003675932824,Cloudy,Highway,Night,Bike,60,4,High,Overspeeding,Yes,Low,High
2024-02-23,07:07,Alappuzha,9.545411267425525,76.32005176230095,Clear,Rural Road,Daylight,Truck,50,3,Low,Road Condition,No,Low,High
2023-06-25,22:05,Kozhikode,11.280637062249196,75.77538290386273,Clear,Highway,Daylight,Truck,50,4,Medium,Bad Weather,No,High,Low
2023-09-18,13:33,Palakkad,10.780137364149013,76.67677647211912,Foggy,Highway,Night,Bike,60,4,Low,Drunk Driving,No,Low,Low
2024-02-18,14:02,Kollam,8.90208567873182,76.57076780915115,Cloudy,Highway,Low Light,Bike,80,4,Low,Overspeeding,No,High,Medium
2023-03-08,10:50,Wayanad,11.670067149166613,76.13311703215152,Rainy,City Road,Night,Bike,50,1,High,Distracted Driving,Yes,Medium,Medium
2023-01-17,18:26,Alappuzha,9.536505768532173,76.34092994942323,Rainy,Highway,Night,Car,40,1,Medium,Road Condition,Yes,Low,High
2023-10-07,06:21,Thiruvananthapuram,8.478829209917249,76.96819216056234,Foggy,Rural Road,Daylight,Truck,60,4,High,Road Condition,Yes,Medium,Medium
2024-04-25,00:44,Wayanad,11.703416114627238,76.18095668150633,Rainy,Rural Road,Daylight,Bike,50,4,Medium,Bad Weather,No,Low,Medium
2023-04-04,14:33,Pathanamthitta,9.264774802072294,76.7881255521145,Rainy,City Road,Low Light,Truck,80,4,High,Road Condition,Yes,Medium,Low
2024-08-30,21:44,Pathanamthitta,9.263252753566016,76.79981010494569,Foggy,Highway,Low Light,Truck,50,4,Medium,Overspeeding,Yes,High,High
2023-06-09,06:21,Alappuzha,9.460648574421288,76.3169407704267,Rainy,Highway,Daylight,Bike,80,3,Medium,Drunk Driving,Yes,Medium,High
2024-08-15,06:37,Kozhikode,11.283779709717365,75.77327886779966,Foggy,Rural Road,Night,Bike,60,3,Low,Overspeeding,No,Low,Low
2023-09-02,09:07,Ernakulam,10.005715973855734,76.27637996353471,Foggy,Rural Road,Daylight,Truck,100,2,Medium,Overspeeding,Yes,Low,Medium
2024-01-08,16:00,Thrissur,10.522397915251139,76.18940431655791,Cloudy,Highway,Low Light,Bus,50,1,Medium,Bad Weather,No,Medium,Medium
2024-04-05,09:09,Malappuram,11.053291110045622,76.07982511723148,Cloudy,Highway,Daylight,Bus,50,1,Medium,Drunk Driving,No,High,Medium
2023-02-16,08:46,Wayanad,11.719005746886834,76.15322962371332,Foggy,Highway,Daylight,Truck,60,4,Low,Road Condition,No,Low,Medium
2024-11-08,02:43,Kasaragod,12.490231027125068,75.0087489250965,Rainy,Highway,Low Light,Bike,80,1,Low,Overspeeding,No,Low,Low
2024-04-01,07:37,Kasaragod,12.52658302368585,75.01448485053118,Rainy,Highway,Low Light,Truck,40,4,Medium,Drunk Driving,No,High,Low
2024-06-06,05:26,Palakkad,10.766884220334035,76.64953532641019,Cloudy,City Road,Night,Truck,100,4,Medium,Distracted Driving,Yes,Low,Medium
2024-02-09,04:50,Thiruvananthapuram,8.514812176773304,76.897622363658,Rainy,Rural Road,Night,Bus,100,1,High,Overspeeding,Yes,High,Medium
2023-02-22,07:06,Alappuzha,9.466111047580188,76.37898280467314,Rainy,Highway,Daylight,Truck,50,1,Medium,Bad Weather,Yes,High,Medium
2024-08-02,12:59,Wayanad,11.661720554764292,76.17973727648472,Rainy,City Road,Low Light,Car,60,1,Low,Distracted Driving,No,Low,Medium
2023-09-30,09:49,Thiruvananthapuram,8.507516311046249,76.90172708701857,Foggy,Highway,Low Light,Truck,100,3,Low,Road Condition,Yes,Medium,High
2023-07-23,12:31,Kasaragod,12.515938239294071,75.00937313263141,Cloudy,Highway,Night,Bike,100,2,Medium,Bad Weather,Yes,Medium,Low
2023-02-01,17:46,Kozhikode,11.22227523470406,75.75633208594436,Rainy,City Road,Daylight,Bus,40,3,Medium,Drunk Driving,Yes,Medium,Medium
2023-10-23,05:36,Kannur,11.83186469896232,75.36260398640167,Cloudy,Rural Road,Daylight,Bus,60,2,Low,Bad Weather,No,High,High
2023-03-03,15:55,Thrissur,10.50821212845303,76.26382516025227,Foggy,Highway,Daylight,Bus,50,3,Low,Road Condition,No,High,Low
2023-12-09,05:56,Kollam,8.871960273630435,76.66160870547675,Cloudy,Highway,Night,Car,60,4,High,Drunk Driving,No,High,High
2024-02-10,04:02,Kollam,8.907882834905429,76.6170061188035,Foggy,Highway,Low Light,Bus,80,3,High,Distracted Driving,Yes,High,High
2023-08-21,16:10,Malappuram,11.040608248186663,76.0393256308784,Clear,Highway,Night,Car,60,2,Low,Distracted Driving,No,Low,High
2023-03-03,08:17,Kannur,11.918787136112682,75.33485248004821,Cloudy,Rural Road,Daylight,Bike,40,1,Medium,Overspeeding,Yes,Medium,Medium
2023-02-16,08:07,Kannur,11.897645751891227,75.41353093162438,Clear,City Road,Low Light,Bike,80,2,Low,Overspeeding,Yes,Low,Low
2024-02-05,22:32,Pathanamthitta,9.233925423511977,76.77050663018724,Foggy,City Road,Night,Bus,50,2,Medium,Bad Weather,Yes,Low,High
2023-03-24,20:20,Palakkad,10.795310920061777,76.63807812240432,Clear,Highway,Daylight,Bus,80,2,High,Overspeeding,No,Medium,High
2024-10-16,03:14,Alappuzha,9.54108496851824,76.34118161531303,Foggy,Rural Road,Daylight,Car,60,1,Low,Distracted Driving,Yes,Low,Medium
2024-07-08,04:21,Wayanad,11.728785533000913,76.13409577613527,Rainy,Rural Road,Low Light,Car,40,3,Low,Bad Weather,Yes,Low,Medium
2024-08-07,06:52,Idukki,9.863277362495072,76.98057757610076,Clear,Rural Road,Night,Car,40,1,Medium,Drunk Driving,No,Medium,Medium
2023-06-23,03:28,Thiruvananthapuram,8.545303026819015,76.917308158237,Rainy,Highway,Daylight,Bike,50,3,Low,Bad Weather,No,Medium,Low
2024-06-10,02:16,Wayanad,11.65486842323083,76.1281700285451,Clear,City Road,Daylight,Car,40,2,Medium,Road Condition,No,Medium,Low
2024-02-16,14:22,Kannur,11.916881366772385,75.358846464757,Foggy,City Road,Low Light,Car,50,2,Medium,Drunk Driving,No,Low,Medium
2024-11-15,19:37,Malappuram,11.024342477092945,76.09646405338924,Rainy,Rural Road,Low Light,Truck,100,1,Low,Overspeeding,Yes,Medium,Low
2024-09-30,14:13,Ernakulam,9.936308096347448,76.32505446019829,Foggy,Highway,Daylight,Bus,50,4,High,Road Condition,No,Medium,Medium
2024-02-12,19:12,Idukki,9.88168893686991,77.00852639436044,Foggy,Rural Road,Night,Truck,100,4,Low,Road Condition,Yes,Low,High
2024-04-07,08:57,Kannur,11.835940566662183,75.35980646710597,Clear,Rural Road,Low Light,Bus,80,4,High,Bad Weather,Yes,Medium,Low
2024-11-17,19:26,Thrissur,10.499430543635006,76.25915460700385,Cloudy,City Road,Low Light,Truck,100,3,Low,Road Condition,Yes,High,Low
2024-11-07,03:55,Malappuram,11.063647615254663,76.07033061607859,Cloudy,Rural Road,Low Light,Truck,80,1,Low,Overspeeding,Yes,Medium,Low
2024-08-17,01:47,Kasaragod,12.461113839442481,74.96829144020023,Foggy,City Road,Low Light,Bike,100,3,Low,Distracted Driving,No,Medium,High
2024-02-01,23:31,Ernakulam,10.02418903825121,76.32070692862267,Cloudy,Highway,Low Light,Car,100,2,High,Drunk Driving,No,Low,Medium
2023-09-05,02:56,Alappuzha,9.516470669885411,76.35073545111877,Foggy,Rural Road,Low Light,Truck,80,1,Low,Drunk Driving,Yes,High,Medium
2024-06-19,08:47,Idukki,9.831407308512125,77.00990025974264,Cloudy,Rural Road,Daylight,Car,40,3,Low,Road Condition,Yes,Medium,Low
2024-04-30,10:07,Idukki,9.881906750755194,76.98644233559158,Cloudy,Highway,Low Light,Bike,80,1,Medium,Distracted Driving,Yes,High,Low
2023-12-17,12:16,Wayanad,11.665883711652464,76.1545559873283,Cloudy,Highway,Daylight,Bus,40,4,Low,Overspeeding,Yes,High,Low
2023-08-09,18:33,Wayanad,11.725492598846975,76.17036799851086,Foggy,City Road,Night,Car,60,4,Medium,Road Condition,No,Low,Low
